topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1101,0.2993119266055046,0.32302245403111735,0.3106885028823986,0.03240740740740741,0.03515240104983374,0.033720717449272956,0.14449541284403672,0.15608437796291402,0.15005262720720225
D1102,0.226123595505618,0.2028081080474268,0.21374875015144443,0.019886363636363636,0.01767730199495292,0.0187133676228266,0.125,0.11216386286412922,0.11818889685808119
D1103,0.31140350877192985,0.35758382618543044,0.33266401493877945,0.07411504424778759,0.08444353026998312,0.0788990186327335,0.16776315789473684,0.19260822642970357,0.1792059202808199
D1104,0.31676136363636365,0.2776487387693582,0.29584221980647946,0.0689655172413793,0.06028677420171684,0.06432163554539169,0.17613636363636365,0.15439137726975927,0.1645077557853934
D1105,0.3197368421052631,0.2973654385922604,0.30804879912163263,0.10372340425531915,0.09665571673224085,0.1000367901009042,0.20263157894736838,0.18851464185668615,0.19525502833367395
D1106,0.28625000000000006,0.287471543449986,0.28676560927120925,0.04040404040404041,0.04073504314027202,0.04055329099789494,0.14375000000000002,0.14482335029090973,0.14423577851648312
D1107,0.34625,0.3452445098912442,0.3455846489893839,0.07575757575757576,0.07528882575757576,0.07549359394615085,0.18,0.17988807723174807,0.17985530348939585
D1108,0.17912371134020616,0.17005675476524304,0.17434108805427748,0.016927083333333332,0.015640691499815295,0.016254362026247776,0.12113402061855669,0.11565315082682728,0.11823088681004486
D1109,0.2838541666666667,0.26981028425356157,0.27662679531236234,0.042105263157894736,0.040028219527702226,0.04103644249543121,0.15234375,0.1447704518870485,0.14844664928427814
D1110,0.28941441441441446,0.3128053281777514,0.30027552335701047,0.06477272727272727,0.06992004884364879,0.06715142170636566,0.14414414414414414,0.15551856824514393,0.1494313622005016
D1111,0.2908653846153846,0.29874524246184675,0.2946798708240089,0.030339805825242712,0.03111383191669043,0.030715545974650347,0.14903846153846156,0.15342876069745362,0.15116190406020202
D1112,0.24632352941176472,0.2654760426573321,0.2545254891847062,0.02722772277227723,0.029382904151759714,0.028189748330165215,0.125,0.13487114192315441,0.12922702526391658
D1113,0.2451923076923077,0.2545887581223001,0.2496326710947528,0.01820388349514563,0.018735733650594333,0.018453826504465674,0.12740384615384615,0.1325258856834498,0.129819849623393
D1114,0.298076923076923,0.30723658133630105,0.3025512135487314,0.05461165048543688,0.05621193547222242,0.0553942189481277,0.140625,0.14503951639507842,0.14277882232119216
D1115,0.27927927927927926,0.3048704558185077,0.29146287127362064,0.052272727272727276,0.05720880549727076,0.05461887660300559,0.13175675675675677,0.14383420605465744,0.13750622200700915
D1116,0.306985294117647,0.4161176131933979,0.35325385902056433,0.08518518518518518,0.11514603207206445,0.09791564472577037,0.15349264705882354,0.2080258904572945,0.17661284267773814
D1117,0.2536764705882353,0.2571814972950796,0.25528928956339947,0.035891089108910895,0.03630427365271877,0.03607630085558116,0.12622549019607845,0.1280520172950745,0.12706673809561675
D1118,0.3180555555555556,0.29741550489962265,0.3063963235130416,0.05056179775280899,0.04618378443500274,0.04820206043781933,0.15,0.1404467761071845,0.1445419999139111
D1119,0.25679347826086957,0.22932949205892283,0.24225558957503832,0.03021978021978022,0.026926258446665154,0.0284745427302547,0.125,0.11147015612409641,0.11783346972894325
D1120,0.29032258064516125,0.27467830827773854,0.2819835440716097,0.055706521739130425,0.05188998134783191,0.05369016719217492,0.16801075268817206,0.1591418646212266,0.16329301839041724
D1121,0.2924311926605505,0.3121135598256316,0.3019295836406036,0.041666666666666664,0.04451687748525199,0.04304191306711432,0.15825688073394495,0.16881020203638225,0.1633507579630768
D1122,0.32230392156862747,0.325515049959232,0.3238842535740241,0.04950495049504951,0.050050355399396826,0.04977294471414644,0.1605392156862745,0.16223496055155695,0.16137445271974174
D1123,0.35302197802197804,0.3277852574704856,0.33935409865003,0.08055555555555556,0.07563047598928188,0.07784803649681764,0.16620879120879123,0.155301094580554,0.1602883814502435
D1124,0.32435344827586204,0.37378318254619575,0.3472914688480583,0.09239130434782607,0.10647487627387874,0.09892867978476283,0.1831896551724138,0.2112786820961508,0.19621755471994023
D1125,0.27260638297872336,0.24984972041560286,0.2606925986978335,0.03494623655913979,0.0319660022451579,0.03338481082939379,0.1382978723404255,0.12687248881337682,0.13231846234701564
D1126,0.2648809523809524,0.33579262859220055,0.29592162967013397,0.049999999999999996,0.0637378723754872,0.05599814183141412,0.12202380952380952,0.15437885283633523,0.1362076124814686
D1127,0.27283653846153844,0.27862826414810854,0.27568794384235196,0.014563106796116502,0.014842257698620541,0.014700610320529278,0.14903846153846154,0.1521996260774809,0.15059400438501694
D1128,0.2752525252525253,0.2686003414505434,0.2718289510265148,0.025510204081632654,0.02493084885411618,0.025215789696205547,0.13636363636363638,0.13330788973889732,0.1347879161905683
D1129,0.3482142857142857,0.3376537173554417,0.34281159944945566,0.05670103092783505,0.054700106652336176,0.05567669311377788,0.17346938775510204,0.16839638412319652,0.17087507201954563
D1130,0.18088235294117647,0.15645024238139849,0.16772101395396577,0.008928571428571428,0.007782827076305338,0.008313506848342913,0.11764705882352941,0.10200766075497786,0.10923043627498147
D1131,0.18990384615384617,0.1978119605556635,0.19375283937272944,0.007281553398058251,0.007655469675661908,0.007463242638873107,0.10216346153846154,0.10651200939439887,0.10428037509361705
D1132,0.22282608695652176,0.2063652167502226,0.2142585495166656,0.020604395604395604,0.019051455310004687,0.019795048455491127,0.12364130434782608,0.11434694461524683,0.11880107708730234
D1133,0.31828703703703703,0.35134554512113875,0.33367636955894153,0.03387850467289719,0.03762874303094729,0.03561886469436324,0.1400462962962963,0.15518163526371942,0.14706867836246665
D1134,0.2828282828282828,0.27673786413262474,0.2796764923596055,0.05102040816326531,0.05000894588604672,0.050494731831693576,0.1527777777777778,0.14935700318555462,0.1510061988698666
D1135,0.2597826086956522,0.2943225931179501,0.27593211648942473,0.029605263157894735,0.03333409286451085,0.031355454295747306,0.12499999999999999,0.14154668933174736,0.1327370424222071
D1136,0.2096456692913386,0.27045758976596174,0.23589333916690575,0.026785714285714284,0.03524097708353137,0.03038281355598932,0.11220472440944881,0.14497673725327953,0.1263418699184228
D1137,0.22142857142857142,0.230478922296269,0.2257883447427861,0.043269230769230775,0.04570240320736211,0.04443918000697809,0.1357142857142857,0.14190166601449966,0.138694066098779
D1138,0.23713235294117646,0.3141321251426446,0.2702078629678852,0.03148148148148148,0.04166828722529661,0.035860168133080746,0.10937499999999999,0.14482514275683905,0.1246069576782138
D1139,0.24642857142857144,0.2560815535119673,0.25108955912812525,0.028846153846153844,0.029814318863493606,0.02931294359272105,0.14047619047619048,0.14593111046443602,0.14311235211537338
D1140,0.2956730769230769,0.29661054043409735,0.296088819993251,0.05097087378640776,0.051208137100994255,0.0510801458689222,0.15264423076923075,0.153301583527625,0.1529439854702127
D1141,0.2462871287128713,0.2417663322583312,0.24398741814683908,0.036250000000000004,0.03557364802688903,0.03590601633098148,0.14603960396039606,0.1432483175624215,0.14461927334188907
D1142,0.2932692307692308,0.3101089176629624,0.3010288631001915,0.05582524271844659,0.058810704180472004,0.057191571220006544,0.16225961538461536,0.1719857676088828,0.16673059995021344
D1143,0.31009615384615385,0.3358106759676204,0.3220792562364355,0.03640776699029125,0.03953425084136321,0.03786555787693507,0.15865384615384615,0.1713577410899438,0.16458045275775196
D1144,0.28154205607476634,0.2906169505772226,0.28596385767866916,0.030660377358490566,0.03200986838372617,0.03131706282733848,0.1378504672897196,0.1424731479636224,0.14010168614632232
