topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001-A.M.100.A.2,0.19558548138356466,0.18509615384615385,0.19008937897811168,0.022942919291929195,0.021844660194174755,0.022371246979948994,0.13740361313064553,0.1298076923076923,0.13341673004027305
D1002-A.M.100.A.2,0.23073754203486682,0.2184466019417476,0.22436798531927107,0.03627246356526439,0.03431372549019608,0.03525866076277419,0.14349395867308884,0.13592233009708737,0.13957150467202947
D1003-A.M.100.A.2,0.23498734481488417,0.18237704918032785,0.20512566180915134,0.0300031349749202,0.022727272727272728,0.025827505953167122,0.1548488966130977,0.12090163934426229,0.13562958350629584
D1004-A.M.100.A.2,0.2697917021796351,0.212,0.23726181600005647,0.025911529068474458,0.020161290322580645,0.022665177892612576,0.17377522874315937,0.136,0.15248575223209057
D1005-A.M.100.A.2,0.18200433126476948,0.16435185185185186,0.17253711201079625,0.012832719318443472,0.011682242990654205,0.012217670973866062,0.1261012257412354,0.11342592592592593,0.11928685349737982
D1006-A.M.100.A.2,0.22924209770114945,0.21750000000000003,0.22306777256357088,0.020902723687301412,0.020202020202020204,0.020535671566599405,0.13985632183908048,0.1325,0.1359838480846884
D1007-A.M.100.B.2,0.297305313254334,0.2338709677419355,0.26168790913473267,0.04688840038326344,0.036585365853658534,0.04108675877235743,0.14274913594470046,0.11290322580645162,0.12602330191075084
D1008-A.M.100.B.2,0.22019513991163475,0.21601941747572814,0.21798093236802005,0.03201111583120929,0.031862745098039214,0.031917763653820215,0.15593288059782906,0.1529126213592233,0.15433232594992027
D1009-A.M.100.B.2,0.24706375393925403,0.1975806451612903,0.21951367243149128,0.020325015644555695,0.016260162601626018,0.01806228166696532,0.15641630881028987,0.125,0.13892020984766285
D1010-A.M.100.B.2,0.2107530855126329,0.168,0.1869579846800421,0.012627824638133917,0.010080645161290322,0.011211034085935167,0.12559349302277167,0.09999999999999999,0.11134149471791838
D1011-A.M.100.C.2,0.2029297333917746,0.18080357142857142,0.1912100817866781,0.020367661766176617,0.018018018018018018,0.019118259827857857,0.15026090419836405,0.13392857142857142,0.1416111150847423
D1012-A.M.100.C.2,0.19988357843137255,0.18457943925233644,0.19190103057379945,0.02089630015633142,0.018867924528301886,0.01982839426058115,0.12878063725490196,0.1191588785046729,0.12376638065109619
D1013-A.M.100.C.2,0.22200707634538963,0.20952380952380953,0.21552650921108266,0.031393109061313075,0.028846153846153848,0.030064170721915105,0.1387896123796053,0.13095238095238096,0.1347198318989014
D1014-A.M.100.C.2,0.22729801763071045,0.20227272727272727,0.21402054113290148,0.020739138303528002,0.01834862385321101,0.01946758469991629,0.14563482499565747,0.12954545454545452,0.13709718939811874
D1015-A.M.100.C.2,0.1872016750625484,0.17924528301886794,0.1830819627601748,0.004883743091290261,0.004761904761904762,0.0048206486386023605,0.12048338961752925,0.11556603773584906,0.11793840423230267
D1016-A.M.100.C.2,0.19205999250608635,0.15524193548387097,0.1716864252547072,0.010077319587628865,0.008130081300813009,0.008999184671830411,0.1271906161291778,0.1028225806451613,0.11370704089867084
D1017-A.M.100.D.2,0.1671235160730959,0.126953125,0.14419360304421955,0.013349936290976486,0.00984251968503937,0.011326058201058201,0.1337535014005602,0.1015625,0.11537712105220427
D1018-A.M.100.D.2,0.1778822892793481,0.1691176470588235,0.17323810399615813,0.007824058267895756,0.007425742574257425,0.0076100695175900564,0.1255369420495471,0.12009803921568626,0.12266115930478497
D1019-A.M.100.D.2,0.1676509798415739,0.1658653846153846,0.16671005464773414,0.012416694288640055,0.012135922330097085,0.012270823414135976,0.10892611697067142,0.10817307692307693,0.10851713962759393
D1020-A.M.100.D.2,0.2049018604462639,0.18981481481481483,0.19697425772025906,0.007535591556210113,0.007009345794392522,0.007260451350351461,0.13022161198143606,0.12037037037037036,0.12504960774702084
D1021-A.M.100.D.2,0.21666602246959388,0.17768595041322316,0.1952204015290933,0.017580350502965296,0.014583333333333334,0.01594107718439665,0.1341399249093577,0.10950413223140495,0.12056062600074378
